datetime,price
2025-08-15T00:00:10+00:00,0.075
2025-08-16T00:00:02+00:00,0.115
2025-08-17T00:00:02+00:00,0.115
2025-08-18T00:00:02+00:00,0.115
2025-08-19T00:00:06+00:00,0.115
2025-08-20T00:00:07+00:00,0.125
2025-08-21T00:00:09+00:00,0.24
2025-08-22T00:00:08+00:00,0.18
2025-08-23T00:00:17+00:00,0.185
2025-08-24T00:00:05+00:00,0.165
2025-08-25T00:00:14+00:00,0.16
2025-08-26T00:00:06+00:00,0.16
2025-08-27T00:00:03+00:00,0.16
2025-08-28T00:00:06+00:00,0.165
2025-08-29T00:00:11+00:00,0.16
2025-08-30T00:00:11+00:00,0.15
2025-08-31T00:00:09+00:00,0.135
2025-09-01T00:00:13+00:00,0.13
2025-09-02T00:00:07+00:00,0.13
2025-09-03T00:00:16+00:00,0.13
2025-09-04T00:00:11+00:00,0.135
2025-09-05T00:00:05+00:00,0.135
2025-09-06T00:00:21+00:00,0.14
2025-09-07T00:00:13+00:00,0.14
2025-09-08T00:00:15+00:00,0.14
2025-09-09T00:00:08+00:00,0.14
2025-09-10T00:00:06+00:00,0.12
2025-09-11T00:00:07+00:00,0.115
2025-09-12T00:00:07+00:00,0.13
2025-09-13T00:00:13+00:00,0.135
2025-09-14T00:00:12+00:00,0.13
2025-09-15T00:00:04+00:00,0.15
2025-09-16T00:00:20+00:00,0.245
2025-09-17T00:00:04+00:00,0.31
