datetime,price
2025-11-26T00:00:17+00:00,0.0015
2025-11-27T00:00:22+00:00,0.0005
2025-11-28T00:00:20+00:00,0.0005
2025-11-29T00:00:28+00:00,0.0005
2025-11-30T00:00:21+00:00,0.0005
2025-12-01T00:00:24+00:00,0.0005
2025-12-02T00:00:15+00:00,0.0005
2025-12-03T00:00:25+00:00,0.0005
2025-12-04T00:00:16+00:00,0.0005
2025-12-05T00:00:18+00:00,0.0005
2025-12-06T00:00:19+00:00,0.0005
2025-12-07T00:00:32+00:00,0.0005
2025-12-08T00:00:31+00:00,0.0005
2025-12-09T00:00:28+00:00,0.0005
2025-12-10T00:00:16+00:00,0.0005
2025-12-11T00:00:16+00:00,0.0005
2025-12-12T00:00:17+00:00,0.0005
2025-12-13T00:00:20+00:00,0.0005
2025-12-14T00:00:20+00:00,0.0005
2025-12-15T00:00:23+00:00,0.0005
2025-12-16T00:00:19+00:00,0.0005
2025-12-17T00:00:15+00:00,0.0005
2025-12-17T00:00:36+00:00,0.0005
2025-12-18T00:00:26+00:00,0.0005
2025-12-19T00:00:17+00:00,0.0005
2025-12-20T00:00:17+00:00,0.0005
2025-12-21T00:00:18+00:00,0.0005
2025-12-22T00:00:18+00:00,0.0005
2025-12-23T00:00:19+00:00,0.0005
2025-12-24T00:00:19+00:00,0.0005
2025-12-25T00:00:29+00:00,0.0005
2025-12-26T00:00:14+00:00,0.0005
2025-12-27T00:00:18+00:00,0.0005
2025-12-28T00:00:19+00:00,0.0005
2025-12-29T00:00:36+00:00,0.0005
2025-12-30T00:00:22+00:00,0.0005
2025-12-31T00:00:20+00:00,0.0005
2026-01-01T00:00:20+00:00,0.0005
2026-01-02T00:00:19+00:00,0.0005
2026-01-03T00:00:17+00:00,0.0005
2026-01-04T00:00:19+00:00,0.0005
2026-01-05T00:00:22+00:00,0.0005
2026-01-06T00:00:23+00:00,0.0005
2026-01-07T00:00:21+00:00,0.0005
2026-01-08T00:00:37+00:00,0.0005
2026-01-09T00:00:22+00:00,0.0005
2026-01-10T00:00:22+00:00,0.0005
2026-01-11T00:00:19+00:00,0.0005
2026-01-12T00:00:22+00:00,0.0005
2026-01-13T00:00:23+00:00,0.0005
2026-01-14T00:00:23+00:00,0.0005
2026-01-15T00:00:25+00:00,0.0005
2026-01-16T00:00:28+00:00,0.0005
2026-01-17T00:00:25+00:00,0.0005
2026-01-18T00:00:39+00:00,0.0005
2026-01-19T00:00:21+00:00,0.0005
2026-01-20T00:00:23+00:00,0.0005
2026-01-21T00:00:24+00:00,0.0005
2026-01-22T00:00:35+00:00,0.0005
2026-01-23T00:00:42+00:00,0.0005
2026-01-24T00:00:39+00:00,0.0005
2026-01-25T00:00:45+00:00,0.0005
2026-01-26T00:00:44+00:00,0.0005
2026-01-27T00:00:38+00:00,0.0005
2026-01-28T00:00:27+00:00,0.0005
2026-01-29T00:00:41+00:00,0.0005
2026-01-30T00:00:31+00:00,0.0005
2026-01-31T00:00:31+00:00,0.0005
2026-02-01T00:00:38+00:00,0.0005
2026-02-02T00:00:30+00:00,0.0005
2026-02-03T00:00:33+00:00,0.0005
2026-02-04T00:00:43+00:00,0.0005
2026-02-05T00:00:28+00:00,0.0005
2026-02-06T00:00:37+00:00,0.0005
2026-02-07T00:00:45+00:00,0.0005
2026-02-08T00:00:40+00:00,0.0005
2026-02-09T00:00:39+00:00,0.0005
2026-02-10T00:00:42+00:00,0.0005
2026-02-11T00:00:47+00:00,0.0005
2026-02-12T00:00:51+00:00,0.0005
2026-02-13T00:00:41+00:00,0.0005
2026-02-14T00:00:46+00:00,0.0005
2026-02-15T00:00:45+00:00,0.0005
2026-02-16T00:00:56+00:00,0.0005
2026-02-17T00:00:48+00:00,0.0005
2026-02-18T00:00:53+00:00,0.0005
2026-02-19T00:00:55+00:00,0.0005
2026-02-20T00:00:50+00:00,0.0005
2026-02-21T00:00:34+00:00,0.0005
2026-02-22T00:00:34+00:00,0.0005
2026-02-23T00:00:40+00:00,0.0005
2026-02-24T00:00:41+00:00,0.0005
2026-02-25T00:00:47+00:00,0.0005
2026-02-26T00:00:41+00:00,0.0005
2026-02-27T00:00:46+00:00,0.0005
2026-02-28T00:00:45+00:00,0.0005
2026-03-02T00:00:56+00:00,0.0005
2026-03-03T00:00:51+00:00,0.0005
2026-03-04T00:00:51+00:00,0.0005
