datetime,price
2024-07-26T00:00:02Z,0.021
2024-07-27T00:00:02Z,0.0035
2024-07-28T00:00:02Z,0.0055
2024-07-29T00:00:02Z,0.0035
2024-07-30T00:00:01Z,0.0025
2024-07-31T00:00:02Z,0.0025
2024-08-01T00:00:02Z,0.006
2024-08-02T00:00:01Z,0.004
2024-08-03T00:00:02Z,0.002
2024-08-04T00:00:01Z,0.002
2024-08-05T00:00:01Z,0.0015
2024-08-06T00:00:01Z,0.003
2024-08-07T00:00:01Z,0.006
2024-08-08T00:00:01Z,0.005
2024-08-09T00:00:02Z,0.0055
2024-08-10T00:00:02Z,0.006
2024-08-11T00:00:01Z,0.0035
2024-08-12T00:00:01Z,0.0025
2024-08-13T00:00:02Z,0.0015
2024-08-14T00:00:02Z,0.0025
2024-08-15T00:00:02Z,0.0015
2024-08-16T00:00:02Z,0.0025
2024-08-17T00:00:02Z,0.002
2024-08-18T00:00:02Z,0.002
2024-08-19T00:00:02Z,0.0015
2024-08-20T00:00:01Z,0.0015
2024-08-21T00:00:02Z,0.0015
2024-08-22T00:00:02Z,0.0015
2024-08-23T00:00:02Z,0.002
2024-08-24T00:00:02Z,0.0025
2024-08-25T00:00:01Z,0.0025
2024-08-26T00:00:02Z,0.0025
2024-08-27T00:00:01Z,0.0025
2024-08-28T00:00:01Z,0.0025
2024-08-29T00:00:02Z,0.0025
2024-08-30T00:00:02Z,0.0025
2024-08-31T00:00:02Z,0.0025
2024-09-01T00:00:02Z,0.002
2024-09-02T00:00:02Z,0.0015
2024-09-03T00:00:02Z,0.002
2024-09-04T00:00:02Z,0.0015
2024-09-05T00:00:02Z,0.0015
2024-09-06T00:00:02Z,0.0015
2024-09-07T00:00:02Z,0.0015
2024-09-08T00:00:02Z,0.0015
2024-09-09T00:00:01Z,0.0025
2024-09-10T00:00:02Z,0.003
2024-09-11T00:00:01Z,0.0025
2024-09-12T00:00:02Z,0.003
2024-09-13T00:00:02Z,0.0015
2024-09-14T00:00:02Z,0.0005
2024-09-15T00:00:02Z,0.0005
2024-09-16T00:00:02Z,0.0005
2024-09-17T00:00:02Z,0.0005
2024-09-18T00:00:02Z,0.0005
